City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
anadyr,90.0,RU,1538704800.0,81.0,64.73,177.51,46.4,17.9
maldonado,0.0,UY,1538704800.0,66.0,-34.91,-54.96,50.0,6.93
bluff,0.0,AU,1538708379.0,30.0,-23.58,149.07,87.26,9.64
hermanus,32.0,ZA,1538708379.0,89.0,-34.42,19.24,44.87,3.6
mahebourg,75.0,MU,1538704800.0,60.0,-20.41,57.7,71.6,10.29
jacareacanga,8.0,BR,1538708380.0,82.0,-6.22,-57.76,79.25,1.59
rikitea,88.0,PF,1538708381.0,100.0,-23.12,-134.97,69.8,13.0
severo-kurilsk,20.0,RU,1538708381.0,85.0,50.68,156.12,50.18,25.75
souillac,0.0,FR,1538706600.0,87.0,45.6,-0.6,57.2,6.93
ribeira grande,48.0,PT,1538708382.0,100.0,38.52,-28.7,71.06,20.27
isangel,56.0,VU,1538708382.0,100.0,-19.55,169.27,73.31,5.17
ushuaia,75.0,AR,1538704800.0,80.0,-54.81,-68.31,39.2,8.05
new norfolk,20.0,AU,1538706600.0,44.0,-42.78,147.06,57.2,9.17
mar del plata,12.0,AR,1538708135.0,90.0,-46.43,-67.52,42.26,7.96
barcelos,0.0,PT,1538706600.0,93.0,41.53,-8.62,51.8,2.15
punta arenas,40.0,CL,1538704800.0,75.0,-53.16,-70.91,42.8,11.41
nishihara,75.0,JP,1538705460.0,73.0,35.74,139.53,69.8,9.17
mataura,24.0,NZ,1538708384.0,78.0,-46.19,168.86,50.99,17.69
oussouye,0.0,SN,1538708384.0,100.0,12.49,-16.54,81.59,12.66
carnarvon,12.0,ZA,1538708384.0,61.0,-30.97,22.13,39.11,6.4
inuvik,20.0,CA,1538704800.0,79.0,68.36,-133.71,21.2,8.05
burns lake,20.0,CA,1538708385.0,80.0,54.23,-125.76,36.41,2.71
barraute,20.0,CA,1538704800.0,55.0,48.43,-77.63,32.0,3.36
palu,8.0,ID,1538708385.0,68.0,-0.9,119.87,78.62,2.15
abha,0.0,SA,1538704800.0,38.0,18.22,42.5,60.8,2.04
college,1.0,US,1538704680.0,6.0,64.86,-147.8,60.08,4.7
fosses,0.0,FR,1538706600.0,71.0,49.1,2.51,53.6,9.17
kudahuvadhoo,68.0,MV,1538708386.0,100.0,2.67,72.89,81.59,25.75
mandali,0.0,IQ,1538708387.0,32.0,33.75,45.55,71.78,3.83
yellowknife,75.0,CA,1538704800.0,68.0,62.45,-114.38,24.8,3.36
qaanaaq,64.0,GL,1538708387.0,100.0,77.48,-69.36,17.78,9.53
berlevag,32.0,NO,1538708206.0,100.0,70.86,29.09,30.47,4.38
hobart,20.0,AU,1538706600.0,44.0,-42.88,147.33,57.2,9.17
padang,12.0,ID,1538708388.0,100.0,-0.92,100.36,81.14,1.03
teya,20.0,MX,1538704200.0,78.0,21.05,-89.07,80.6,11.41
avarua,40.0,CK,1538704800.0,61.0,-21.21,-159.78,78.8,14.99
shahr-e kord,0.0,IR,1538704800.0,33.0,32.33,50.85,42.8,2.24
kapaa,1.0,US,1538704560.0,67.0,22.08,-159.32,84.92,10.29
nikolskoye,75.0,RU,1538704800.0,86.0,59.7,30.79,30.2,4.47
lesozavodsk,0.0,RU,1538708390.0,78.0,45.47,133.42,66.47,11.21
guerrero negro,0.0,MX,1538708390.0,91.0,27.97,-114.04,69.26,12.1
sungairaya,92.0,ID,1538708390.0,100.0,0.7,108.9,77.54,4.16
jamestown,0.0,AU,1538708391.0,52.0,-33.21,138.6,62.6,6.73
scarborough,68.0,GB,1538704200.0,82.0,54.28,-0.41,57.2,6.93
maceio,40.0,BR,1538708400.0,94.0,-9.67,-35.74,71.6,2.24
nouadhibou,44.0,MR,1538704800.0,50.0,20.93,-17.03,77.0,12.75
port elizabeth,90.0,US,1538708100.0,100.0,39.31,-74.98,75.92,3.36
domna,75.0,RU,1538704800.0,54.0,51.9,113.16,37.4,13.42
painesville,75.0,US,1538705820.0,68.0,41.72,-81.25,55.94,12.75
castro,0.0,CL,1538708458.0,100.0,-42.48,-73.76,38.48,5.73
saldanha,0.0,PT,1538708459.0,79.0,41.42,-6.55,47.21,2.48
port alfred,12.0,ZA,1538708459.0,98.0,-33.59,26.89,60.17,10.65
albany,20.0,US,1538707860.0,72.0,42.65,-73.75,66.02,8.05
thompson,20.0,CA,1538704800.0,73.0,55.74,-97.86,21.2,4.61
bulgan,8.0,MN,1538708460.0,56.0,48.81,103.53,33.89,11.54
yining,0.0,CN,1538708460.0,36.0,29.04,114.56,74.21,6.62
avera,1.0,US,1538706900.0,92.0,33.19,-82.53,82.04,5.17
cape town,0.0,ZA,1538704800.0,87.0,-33.93,18.42,55.4,3.36
busselton,88.0,AU,1538708461.0,100.0,-33.64,115.35,62.06,10.65
cidreira,80.0,BR,1538708461.0,76.0,-30.17,-50.22,60.08,11.21
mayo,5.0,CA,1538704800.0,32.0,63.59,-135.9,41.0,5.82
ahuimanu,40.0,US,1538704620.0,77.0,21.44,-157.84,84.02,6.93
chokurdakh,92.0,RU,1538708176.0,90.0,70.62,147.9,32.54,14.23
benicarlo,0.0,ES,1538708463.0,100.0,40.42,0.43,70.16,6.17
east london,0.0,ZA,1538708463.0,100.0,-33.02,27.91,64.04,13.56
pevek,92.0,RU,1538708463.0,98.0,69.7,170.27,41.54,8.41
port lavaca,1.0,US,1538704380.0,96.0,28.61,-96.63,80.06,8.05
hilo,90.0,US,1538704560.0,67.0,19.71,-155.08,82.94,11.77
snezhnogorsk,0.0,RU,1538704800.0,100.0,69.19,33.23,32.0,4.47
ust-kut,0.0,RU,1538708464.0,58.0,56.78,105.75,36.32,4.5
la ronge,20.0,CA,1538704800.0,63.0,55.1,-105.3,28.4,3.36
nyurba,76.0,RU,1538708465.0,68.0,63.29,118.35,37.04,3.71
sayyan,0.0,YE,1538708201.0,58.0,15.17,44.32,41.09,3.04
torata,56.0,PE,1538708465.0,50.0,-17.08,-70.84,36.23,2.04
mujiayingzi,24.0,CN,1538708466.0,34.0,42.12,118.78,67.46,8.19
walvis bay,48.0,NA,1538704800.0,87.0,-22.95,14.51,59.0,5.82
alamos,0.0,AR,1538708466.0,37.0,-36.9,-62.36,48.38,11.21
velikiy ustyug,92.0,RU,1538708466.0,100.0,60.76,46.3,37.04,14.23
ponta do sol,12.0,BR,1538708467.0,86.0,-20.63,-46.0,66.74,3.71
kenai,90.0,US,1538704560.0,82.0,60.55,-151.26,50.0,5.82
leningradskiy,88.0,RU,1538708467.0,94.0,69.38,178.42,37.49,5.84
butaritari,20.0,KI,1538708468.0,100.0,3.07,172.79,84.83,7.74
port lincoln,0.0,AU,1538708181.0,90.0,-34.72,135.86,58.73,11.21
khatanga,32.0,RU,1538708468.0,84.0,71.98,102.47,30.02,11.32
bassila,76.0,BJ,1538708468.0,98.0,9.0,1.66,71.15,3.71
kakhun,90.0,RU,1538704800.0,66.0,43.54,43.88,50.0,13.42
geraldton,40.0,CA,1538704800.0,74.0,49.72,-86.95,28.4,4.7
bonavista,48.0,CA,1538708470.0,90.0,48.65,-53.11,54.95,21.5
san policarpo,32.0,PH,1538708535.0,95.0,12.18,125.51,84.38,5.73
gagatli,88.0,RU,1538708536.0,100.0,42.8,46.29,42.89,0.81
ketchikan,1.0,US,1538704560.0,70.0,55.34,-131.65,48.92,9.17
coihaique,0.0,CL,1538704800.0,75.0,-45.58,-72.07,42.8,4.7
eyl,0.0,SO,1538708536.0,97.0,7.98,49.82,74.21,11.32
yenagoa,64.0,NG,1538708536.0,94.0,4.92,6.26,75.02,4.94
nkoteng,92.0,CM,1538708537.0,100.0,4.5,12.12,67.91,3.49
port blair,32.0,IN,1538708537.0,95.0,11.67,92.75,85.73,5.95
muyezerskiy,0.0,RU,1538708537.0,100.0,63.93,31.65,25.07,5.5
atuona,0.0,PF,1538708538.0,100.0,-9.8,-139.03,79.25,7.63
salalah,0.0,OM,1538704200.0,53.0,17.01,54.1,73.4,2.24
hami,0.0,CN,1538708538.0,37.0,42.84,93.51,53.78,9.53
dwarka,44.0,IN,1538704800.0,78.0,28.58,77.04,78.8,6.29
bensonville,64.0,LR,1538708539.0,95.0,6.45,-10.61,76.01,6.73
narsaq,68.0,GL,1538707800.0,33.0,60.91,-46.05,30.2,13.87
barrow,0.0,AR,1538708495.0,94.0,-38.31,-60.23,40.55,3.83
virginia beach,1.0,US,1538708040.0,84.0,36.85,-75.98,79.16,4.7
iquitos,75.0,PE,1538706780.0,88.0,-3.75,-73.25,78.8,9.17
esperance,20.0,TT,1538704800.0,100.0,10.24,-61.45,78.8,4.7
puerto ayora,0.0,EC,1538708541.0,100.0,-0.74,-90.35,69.62,13.78
filadelfia,88.0,PY,1538708541.0,84.0,-22.35,-60.04,69.44,10.76
issoire,0.0,FR,1538706600.0,81.0,45.54,3.25,50.0,6.93
dikson,88.0,RU,1538708542.0,98.0,73.51,80.55,38.93,23.06
airai,0.0,TL,1538708542.0,37.0,-8.93,125.41,88.25,1.92
remedios,40.0,CU,1538704200.0,88.0,22.5,-79.55,75.2,4.7
egvekinot,76.0,RU,1538708543.0,85.0,66.32,-179.17,41.09,11.43
lahat,8.0,ID,1538708543.0,52.0,-3.78,103.55,91.13,7.74
longyearbyen,75.0,NO,1538704200.0,85.0,78.22,15.63,24.8,6.93
saint-philippe,1.0,CA,1538705700.0,57.0,45.36,-73.48,53.6,12.75
el rosario,40.0,MX,1538703780.0,79.0,22.99,-105.86,86.0,6.93
rundu,0.0,NA,1538708545.0,29.0,-17.91,19.77,59.99,6.96
kashan,0.0,IR,1538708545.0,57.0,33.99,51.44,57.29,3.38
ames,90.0,US,1538708100.0,58.0,42.03,-93.62,55.04,10.29
dunedin,36.0,NZ,1538708401.0,66.0,-45.87,170.5,52.7,8.08
hualmay,92.0,PE,1538708546.0,83.0,-11.1,-77.61,62.78,3.49
ures,0.0,MX,1538708546.0,85.0,30.73,-112.95,72.5,5.17
vila,0.0,IT,1538706000.0,93.0,45.18,8.4,51.8,6.93
dakar,40.0,SN,1538704800.0,88.0,14.69,-17.45,82.4,11.41
kostrzyn,0.0,PL,1538706600.0,87.0,52.4,17.23,50.0,6.93
constitucion,5.0,MX,1538704020.0,60.0,23.99,-104.67,68.0,4.7
north platte,90.0,US,1538707980.0,92.0,41.12,-100.77,37.04,10.29
chaozhou,0.0,CN,1538704800.0,41.0,23.66,116.62,78.8,13.42
penalva,8.0,BR,1538708549.0,79.0,-3.29,-45.17,78.98,8.86
pitimbu,75.0,BR,1538704800.0,78.0,-7.47,-34.81,77.0,9.17
arraial do cabo,92.0,BR,1538708614.0,100.0,-22.97,-42.02,72.86,11.43
synya,80.0,RU,1538708614.0,95.0,65.37,58.04,45.23,9.86
vestmannaeyjar,32.0,IS,1538708615.0,98.0,63.44,-20.27,40.01,19.48
kahului,40.0,US,1538704560.0,59.0,20.89,-156.47,87.08,13.87
nazca,80.0,PE,1538708615.0,65.0,-14.83,-74.94,61.79,1.81
ust-uda,76.0,RU,1538708616.0,91.0,54.17,103.03,37.94,11.65
rossland,20.0,CA,1538704800.0,65.0,49.08,-117.8,44.6,1.7
plettenberg bay,0.0,ZA,1538708617.0,100.0,-34.05,23.37,60.44,4.94
ilulissat,0.0,GL,1538707800.0,44.0,69.22,-51.1,21.2,19.46
mount gambier,24.0,AU,1538708617.0,74.0,-37.83,140.78,61.34,5.61
vaini,20.0,IN,1538708617.0,89.0,15.34,74.49,75.92,8.52
cururupu,56.0,BR,1538708618.0,79.0,-1.82,-44.87,79.79,8.19
grand gaube,75.0,MU,1538704800.0,60.0,-20.01,57.66,71.6,10.29
yulara,8.0,AU,1538704800.0,22.0,-25.24,130.99,78.8,18.34
codrington,92.0,AU,1538708619.0,100.0,-28.95,153.24,62.06,3.04
kavieng,68.0,PG,1538708619.0,100.0,-2.57,150.8,80.87,5.95
hithadhoo,48.0,MV,1538708619.0,100.0,-0.6,73.08,80.96,16.46
kisangani,36.0,CD,1538708620.0,98.0,0.52,25.21,72.14,2.15
ust-kuyga,80.0,RU,1538708620.0,91.0,70.0,135.55,30.29,4.16
inzai,75.0,JP,1538705460.0,88.0,35.8,140.18,69.8,5.82
cabo san lucas,5.0,MX,1538703900.0,78.0,22.89,-109.91,84.2,8.05
fort saint james,36.0,CA,1538708621.0,83.0,54.43,-124.25,35.06,2.37
antofagasta,0.0,CL,1538704800.0,87.0,-23.65,-70.4,59.0,5.82
buala,80.0,SB,1538708432.0,92.0,-8.15,159.59,82.31,6.29
abu kamal,0.0,SY,1538708621.0,37.0,34.45,40.92,66.2,9.19
bafq,20.0,IR,1538708622.0,75.0,31.6,55.4,55.4,5.17
torbay,90.0,CA,1538704800.0,93.0,47.66,-52.73,57.2,13.87
provideniya,90.0,RU,1538706600.0,76.0,64.42,-173.23,50.0,20.13
saint george,75.0,GR,1538704200.0,88.0,39.45,22.34,62.6,2.93
talnakh,92.0,RU,1538708623.0,95.0,69.49,88.39,35.69,9.64
lebu,0.0,ET,1538708623.0,76.0,8.96,38.73,39.74,2.82
aklavik,20.0,CA,1538704800.0,79.0,68.22,-135.01,21.2,8.05
bredasdorp,32.0,ZA,1538704800.0,87.0,-34.53,20.04,59.0,11.41
bethel,92.0,US,1538708625.0,97.0,60.79,-161.76,48.83,13.44
mantua,0.0,IT,1538706000.0,93.0,45.16,10.79,55.4,2.24
hasaki,75.0,JP,1538704800.0,94.0,35.73,140.83,69.8,12.75
ancud,0.0,CL,1538708626.0,74.0,-41.87,-73.83,43.34,6.62
straumen,90.0,NO,1538706000.0,81.0,63.87,11.3,44.6,17.22
nong phai,20.0,TH,1538708626.0,72.0,16.0,101.06,83.3,5.39
santa cruz,75.0,US,1538706900.0,77.0,36.97,-122.03,64.94,13.87
mehamn,76.0,NO,1538708628.0,100.0,71.03,27.85,32.81,3.6
brae,48.0,GB,1538707800.0,75.0,60.4,-1.35,50.0,28.86
brandon,90.0,US,1538706900.0,93.0,43.59,-96.57,39.92,8.05
gat,0.0,SN,1538708694.0,93.0,14.69,-16.54,78.98,9.42
husavik,68.0,CA,1538708695.0,100.0,50.56,-96.99,31.19,3.94
makakilo city,1.0,US,1538704620.0,67.0,21.35,-158.09,84.02,10.29
chapais,1.0,CA,1538704800.0,60.0,49.78,-74.86,32.0,14.99
saskylakh,32.0,RU,1538708696.0,81.0,71.97,114.09,28.31,9.75
mehtar lam,20.0,AF,1538704500.0,78.0,34.67,70.21,62.6,2.26
naze,40.0,NG,1538704800.0,100.0,5.43,7.07,75.2,3.38
rocha,0.0,UY,1538708697.0,84.0,-34.48,-54.34,39.11,3.6
lavrentiya,88.0,RU,1538708697.0,89.0,65.58,-170.99,46.4,23.51
christchurch,36.0,NZ,1538706600.0,71.0,-43.53,172.64,51.8,9.17
nuuk,64.0,GL,1538707800.0,100.0,64.17,-51.74,32.0,19.46
dicabisagan,0.0,PH,1538708698.0,90.0,17.08,122.42,83.93,2.37
tondano,20.0,ID,1538706600.0,46.0,1.3,124.91,91.4,8.05
vostok,0.0,RU,1538708699.0,58.0,46.45,135.83,63.14,2.93
najran,0.0,SA,1538704800.0,24.0,17.54,44.22,66.2,2.71
falmouth,20.0,GB,1538704200.0,93.0,50.16,-5.07,55.4,8.05
tezu,0.0,IN,1538708700.0,69.0,27.93,96.16,71.33,1.14
victoria,75.0,BN,1538706600.0,83.0,5.28,115.24,87.8,3.36
beringovskiy,92.0,RU,1538708701.0,100.0,63.05,179.32,45.86,19.82
nanortalik,92.0,GL,1538708701.0,95.0,60.14,-45.24,34.16,14.0
alexandria,1.0,US,1538706900.0,94.0,31.31,-92.44,78.98,6.17
worthington,90.0,US,1538706900.0,93.0,43.62,-95.6,37.94,8.05
ekhabi,0.0,RU,1538708766.0,75.0,53.51,142.97,59.27,6.4
celestun,8.0,MX,1538708703.0,97.0,20.87,-90.4,83.66,20.27
sao joao da barra,92.0,BR,1538708703.0,100.0,-21.64,-41.05,74.75,17.13
coquimbo,0.0,CL,1538704800.0,87.0,-29.95,-71.34,53.6,8.05
labuhan,8.0,ID,1538708703.0,64.0,-2.54,115.51,88.25,2.93
voi,88.0,KE,1538708704.0,97.0,-3.4,38.57,65.93,3.49
riyadh,0.0,SA,1538704800.0,35.0,24.63,46.72,75.2,4.7
kolpashevo,68.0,RU,1538708704.0,65.0,58.31,82.9,52.25,10.42
huarmey,64.0,PE,1538708705.0,76.0,-10.07,-78.15,61.07,3.04
xiongyue,0.0,CN,1538708705.0,52.0,40.18,122.12,72.23,5.84
panama city,1.0,US,1538704380.0,87.0,30.16,-85.65,75.92,6.51
norman wells,20.0,CA,1538704800.0,54.0,65.28,-126.83,28.4,4.7
swellendam,0.0,ZA,1538704800.0,87.0,-34.02,20.44,59.0,11.41
kurilsk,0.0,RU,1538708707.0,80.0,45.23,147.88,59.45,11.88
cockburn town,76.0,TC,1538708707.0,100.0,21.46,-71.14,82.49,12.1
sobolevo,0.0,RU,1538708707.0,91.0,54.43,31.9,31.1,9.86
jinji,0.0,CN,1538708708.0,49.0,22.16,112.49,78.98,7.4
port-gentil,80.0,GA,1538708708.0,99.0,-0.72,8.78,77.36,7.74
artvin,75.0,TR,1538706600.0,93.0,41.18,41.83,57.2,9.17
kodiak,90.0,US,1538707980.0,71.0,39.95,-94.76,57.02,13.87
georgetown,0.0,GY,1538708710.0,84.0,6.8,-58.16,78.71,7.85
ambulu,0.0,ID,1538708776.0,78.0,-8.35,113.61,81.14,4.38
grindavik,40.0,IS,1538706600.0,100.0,63.84,-22.43,37.4,21.92
bend,1.0,US,1538708160.0,49.0,44.06,-121.32,48.92,3.36
battle creek,1.0,US,1538706960.0,72.0,42.32,-85.18,52.16,7.96
la baneza,0.0,ES,1538706600.0,66.0,42.3,-5.9,50.0,4.7
cherskiy,92.0,RU,1538708778.0,93.0,68.75,161.3,34.07,9.19
richards bay,32.0,ZA,1538708779.0,95.0,-28.77,32.06,55.76,4.72
rabo de peixe,40.0,PT,1538706600.0,77.0,37.8,-25.58,69.8,12.75
sinnamary,8.0,GF,1538708779.0,93.0,5.38,-52.96,81.68,12.33
bubaque,20.0,GW,1538704800.0,100.0,11.28,-15.83,73.4,3.36
clyde river,90.0,CA,1538704800.0,74.0,70.47,-68.59,30.2,16.11
santa isabel do rio negro,44.0,BR,1538708781.0,85.0,-0.41,-65.02,79.25,2.59
sorong,24.0,ID,1538708782.0,100.0,-0.86,131.25,81.32,1.7
fortuna,0.0,ES,1538706600.0,82.0,38.18,-1.13,62.6,2.24
lata,0.0,IN,1538708783.0,77.0,30.78,78.62,54.41,1.92
kollam,75.0,IN,1538706600.0,83.0,8.88,76.6,80.6,3.36
sioux lookout,75.0,CA,1538704800.0,92.0,50.1,-91.92,32.0,1.92
pangnirtung,92.0,CA,1538708784.0,86.0,66.15,-65.72,31.91,30.56
port moresby,0.0,PG,1538708784.0,94.0,-9.47,147.16,78.26,15.46
mizdah,0.0,LY,1538708784.0,62.0,31.45,12.98,53.78,3.38
cartagena,0.0,ES,1538706600.0,87.0,37.63,-1.0,60.8,5.82
san jeronimo,56.0,PE,1538708785.0,90.0,-13.65,-73.37,41.18,1.7
loreto,88.0,PY,1538708786.0,65.0,-23.27,-57.32,69.71,11.1
saint-pierre,0.0,FR,1538706600.0,93.0,48.95,4.24,44.6,5.82
ceyhan,0.0,TR,1538706000.0,82.0,37.03,35.82,68.0,8.05
siniscola,75.0,IT,1538706000.0,100.0,40.57,9.69,60.8,4.7
ponta pora,20.0,BR,1538708738.0,71.0,-22.54,-55.73,68.9,8.63
katsuura,75.0,JP,1538706300.0,83.0,33.93,134.5,77.0,17.22
iskateley,92.0,RU,1538708672.0,100.0,67.68,53.15,36.23,13.67
bathsheba,40.0,BB,1538704800.0,83.0,13.22,-59.52,82.4,18.34
leirvik,92.0,NO,1538707800.0,66.0,59.78,5.5,51.8,19.46
mpika,48.0,ZM,1538708854.0,59.0,-11.84,31.4,67.01,14.23
westport,44.0,IE,1538708791.0,100.0,53.8,-9.52,42.53,3.94
teguise,68.0,ES,1538706600.0,88.0,29.06,-13.56,71.6,6.93
iqaluit,90.0,CA,1538704800.0,69.0,63.75,-68.52,37.4,48.32
xiaoshan,75.0,CN,1538706600.0,68.0,30.19,120.26,71.6,20.13
kloulklubed,75.0,PW,1538707800.0,66.0,7.04,134.26,87.8,9.17
namibe,32.0,AO,1538708794.0,100.0,-15.19,12.15,66.29,7.4
nova olinda do norte,0.0,BR,1538708794.0,67.0,-3.89,-59.1,82.49,3.15
puri,0.0,ID,1538708794.0,50.0,-7.54,112.45,86.99,1.36
vila franca do campo,40.0,PT,1538706600.0,77.0,37.72,-25.43,69.8,12.75
tiksi,44.0,RU,1538708796.0,94.0,71.64,128.87,27.23,5.61
tahe,0.0,CN,1538708796.0,47.0,52.34,124.71,65.66,4.61
karratha,0.0,AU,1538708796.0,17.0,-20.74,116.85,95.54,10.42
varkkallai,75.0,IN,1538706600.0,83.0,8.73,76.71,80.6,3.36
mazagao,20.0,BR,1538704800.0,74.0,-0.12,-51.29,82.4,11.41
nassjo,92.0,SE,1538707800.0,93.0,57.65,14.7,53.6,16.11
phangnga,75.0,TH,1538706600.0,78.0,8.45,98.53,82.4,3.36
okhotsk,8.0,RU,1538708863.0,77.0,59.36,143.24,47.66,6.17
